sentimen,tweet,remove_unrelevant_emoji,emojis,tweet_clean,tweet_proc_punct,tweet_no_punct,tweet_no_sc,tweet_lowercase,tweet_no_slang,tweet_no_sw,tweet_no_number,tweet_no_extra_spaces,tweet_lem,final_tweet,tweet_tokenization
negatif,Trus kalo ga mau digaji indonesia ini bisa sjahtera gtu? Lucu ya? lucu?,Trus kalo ga mau digaji indonesia ini bisa sjahtera gtu? Lucu ya? lucu?,,Trus kalo ga mau digaji indonesia ini bisa sjahtera gtu? Lucu ya? lucu?,Trus kalo ga mau digaji indonesia ini bisa sjahtera gtu? Lucu ya? lucu?,Trus kalo ga mau digaji indonesia ini bisa sjahtera gtu  Lucu ya  lucu ,Trus kalo ga mau digaji indonesia ini bisa sjahtera gtu  Lucu ya  lucu ,trus kalo ga mau digaji indonesia ini bisa sjahtera gtu  lucu ya  lucu ,terus kalau tidak mau digaji indonesia ini bisa sjahtera begitu  lucu iya  lucu ,tidak digaji indonesia bisa sjahtera lucu lucu,tidak digaji indonesia bisa sjahtera lucu lucu,tidak digaji indonesia bisa sjahtera lucu lucu,tidak gaji indonesia bisa sjahtera lucu lucu,tidak gaji indonesia bisa sjahtera lucu lucu ,"['tidak', 'gaji', 'indonesia', 'bisa', 'sjahtera', 'lucu', 'lucu']"
negatif,Pendukung jokowi pasrah terhadap ekonomi rendah karna menguntungkan buat pndukung fanatisme jokowi bukan menguntungkan buat rakyat,Pendukung jokowi pasrah terhadap ekonomi rendah karna menguntungkan buat pndukung fanatisme jokowi bukan menguntungkan buat rakyat,,Pendukung jokowi pasrah terhadap ekonomi rendah karna menguntungkan buat pndukung fanatisme jokowi bukan menguntungkan buat rakyat,Pendukung jokowi pasrah terhadap ekonomi rendah karna menguntungkan buat pndukung fanatisme jokowi bukan menguntungkan buat rakyat,Pendukung jokowi pasrah terhadap ekonomi rendah karna menguntungkan buat pndukung fanatisme jokowi bukan menguntungkan buat rakyat,Pendukung jokowi pasrah terhadap ekonomi rendah karna menguntungkan buat pndukung fanatisme jokowi bukan menguntungkan buat rakyat,pendukung jokowi pasrah terhadap ekonomi rendah karna menguntungkan buat pndukung fanatisme jokowi bukan menguntungkan buat rakyat,pendukung jokowi pasrah terhadap ekonomi rendah karena menguntungkan buat pendukung fanatisme jokowi bukan menguntungkan buat rakyat,pendukung jokowi pasrah ekonomi rendah menguntungkan pendukung fanatisme jokowi bukan menguntungkan rakyat,pendukung jokowi pasrah ekonomi rendah menguntungkan pendukung fanatisme jokowi bukan menguntungkan rakyat,pendukung jokowi pasrah ekonomi rendah menguntungkan pendukung fanatisme jokowi bukan menguntungkan rakyat,dukung jokowi pasrah ekonomi rendah untung dukung fanatisme jokowi bukan untung rakyat,dukung jokowi pasrah ekonomi rendah untung dukung fanatisme jokowi bukan untung rakyat ,"['dukung', 'jokowi', 'pasrah', 'ekonomi', 'rendah', 'untung', 'dukung', 'fanatisme', 'jokowi', 'bukan', 'untung', 'rakyat']"
negatif,"Tapi, janji kampanye jokowi yang menurut gua fatal adalah: Kartu Sembako Murah. Kenapa? Banyak kok pernyataan pak jokowi bilang dulu-dulu bahwa harga sembako kita murah, buktinya impor terus, dan klaim tingkat konsumsi masyarakat gak terganggu. Like f? Terus buat apa bikin kartu?","Tapi, janji kampanye jokowi yang menurut gua fatal adalah: Kartu Sembako Murah. Kenapa? Banyak kok pernyataan pak jokowi bilang dulu-dulu bahwa harga sembako kita murah, buktinya impor terus, dan klaim tingkat konsumsi masyarakat gak terganggu. Like f? Terus buat apa bikin kartu?",,"Tapi, janji kampanye jokowi yang menurut gua fatal adalah: Kartu Sembako Murah. Kenapa? Banyak kok pernyataan pak jokowi bilang dulu-dulu bahwa harga sembako kita murah, buktinya impor terus, dan klaim tingkat konsumsi masyarakat gak terganggu. Like f? Terus buat apa bikin kartu?","Tapi, janji kampanye jokowi yang menurut gua fatal adalah: Kartu Sembako Murah. Kenapa? Banyak kok pernyataan pak jokowi bilang duludulu bahwa harga sembako kita murah, buktinya impor terus, dan klaim tingkat konsumsi masyarakat gak terganggu. Like f? Terus buat apa bikin kartu?",Tapi  janji kampanye jokowi yang menurut gua fatal adalah  Kartu Sembako Murah  Kenapa  Banyak kok pernyataan pak jokowi bilang duludulu bahwa harga sembako kita murah  buktinya impor terus  dan klaim tingkat konsumsi masyarakat gak terganggu  Like f  Terus buat apa bikin kartu ,Tapi  janji kampanye jokowi yang menurut gua fatal adalah  Kartu Sembako Murah  Kenapa  Banyak kok pernyataan pak jokowi bilang duludulu bahwa harga sembako kita murah  buktinya impor terus  dan klaim tingkat konsumsi masyarakat gak terganggu  Like f  Terus buat apa bikin kartu ,tapi  janji kampanye jokowi yang menurut gua fatal adalah  kartu sembako murah  kenapa  banyak kok pernyataan pak jokowi bilang duludulu bahwa harga sembako kita murah  buktinya impor terus  dan klaim tingkat konsumsi masyarakat gak terganggu  like f  terus buat apa bikin kartu ,tapi  janji kampanye jokowi yang menurut saya fatal adalah  kartu sembilan bahan pokok murah  kenapa  banyak kok pernyataan pak jokowi bilang duludulu bahwa harga sembilan bahan pokok kita murah  buktinya impor terus  dan klaim tingkat konsumsi masyarakat tidak terganggu  like f  terus buat apa buat kartu ,janji kampanye jokowi fatal kartu sembilan bahan pokok murah pernyataan jokowi bilang duludulu harga sembilan bahan pokok murah buktinya impor klaim tingkat konsumsi masyarakat tidak terganggu like f kartu,janji kampanye jokowi fatal kartu sembilan bahan pokok murah pernyataan jokowi bilang duludulu harga sembilan bahan pokok murah buktinya impor klaim tingkat konsumsi masyarakat tidak terganggu like f kartu,janji kampanye jokowi fatal kartu sembilan bahan pokok murah pernyataan jokowi bilang duludulu harga sembilan bahan pokok murah buktinya impor klaim tingkat konsumsi masyarakat tidak terganggu like f kartu,janji kampanye jokowi fatal kartu sembilan bahan pokok murah nyata jokowi bilang duludulu harga sembilan bahan pokok murah bukti impor klaim tingkat konsumsi masyarakat tidak ganggu like f kartu,janji kampanye jokowi fatal kartu sembilan bahan pokok murah nyata jokowi bilang duludulu harga sembilan bahan pokok murah bukti impor klaim tingkat konsumsi masyarakat tidak ganggu like f kartu ,"['janji', 'kampanye', 'jokowi', 'fatal', 'kartu', 'sembilan', 'bahan', 'pokok', 'murah', 'nyata', 'jokowi', 'bilang', 'duludulu', 'harga', 'sembilan', 'bahan', 'pokok', 'murah', 'bukti', 'impor', 'klaim', 'tingkat', 'konsumsi', 'masyarakat', 'tidak', 'ganggu', 'like', 'f', 'kartu']"
negatif,"Saya kecwa sbgai milenial,  pak Prabowo lemah bicara digital, e-sport, pasar ekonomi IT,  dia berfikir nya selalu konservatif! Padahal dunia IT di depan kita looo pak","Saya kecwa sbgai milenial,  pak Prabowo lemah bicara digital, e-sport, pasar ekonomi IT,  dia berfikir nya selalu konservatif! Padahal dunia IT di depan kita looo pak",,"Saya kecwa sbgai milenial,  pak Prabowo lemah bicara digital, e-sport, pasar ekonomi IT,  dia berfikir nya selalu konservatif! Padahal dunia IT di depan kita looo pak","Saya kecwa sbgai milenial,  pak Prabowo lemah bicara digital, esport, pasar ekonomi IT,  dia berfikir nya selalu konservatif! Padahal dunia IT di depan kita looo pak",Saya kecwa sbgai milenial   pak Prabowo lemah bicara digital  esport  pasar ekonomi IT   dia berfikir nya selalu konservatif  Padahal dunia IT di depan kita looo pak,Saya kecwa sbgai milenial   pak Prabowo lemah bicara digital  esport  pasar ekonomi IT   dia berfikir nya selalu konservatif  Padahal dunia IT di depan kita looo pak,saya kecwa sbgai milenial   pak prabowo lemah bicara digital  esport  pasar ekonomi it   dia berfikir nya selalu konservatif  padahal dunia it di depan kita looo pak,saya kecwa sebagai milenial   pak prabowo lemah bicara digital  esport  pasar ekonomi it   dia berpikir nya selalu konservatif  padahal dunia it di depan kita lo pak,kecwa milenial prabowo lemah bicara digital esport pasar ekonomi it berpikir konservatif dunia it lo,kecwa milenial prabowo lemah bicara digital esport pasar ekonomi it berpikir konservatif dunia it lo,kecwa milenial prabowo lemah bicara digital esport pasar ekonomi it berpikir konservatif dunia it lo,kecwa milenial prabowo lemah bicara digital esport pasar ekonomi it pikir konservatif dunia it lo,kecwa milenial prabowo lemah bicara digital esport pasar ekonomi it pikir konservatif dunia it lo ,"['kecwa', 'milenial', 'prabowo', 'lemah', 'bicara', 'digital', 'esport', 'pasar', 'ekonomi', 'it', 'pikir', 'konservatif', 'dunia', 'it', 'lo']"
negatif,Kalo yg penghasilan 30 ribu perhari itu sudah jelas sangat di perhatikan pemerintah. Tapi nyatanya yg gajinya udh cukup masih berkoar koar padahal bantu tetangga yg miskin gak pernah  Mikir .....,Kalo yg penghasilan 30 ribu perhari itu sudah jelas sangat di perhatikan pemerintah. Tapi nyatanya yg gajinya udh cukup masih berkoar koar padahal bantu tetangga yg miskin gak pernah  Mikir .....,,Kalo yg penghasilan 30 ribu perhari itu sudah jelas sangat di perhatikan pemerintah. Tapi nyatanya yg gajinya udh cukup masih berkoar koar padahal bantu tetangga yg miskin gak pernah  Mikir .....,Kalo yg penghasilan 30 ribu perhari itu sudah jelas sangat di perhatikan pemerintah. Tapi nyatanya yg gajinya udh cukup masih berkoar koar padahal bantu tetangga yg miskin gak pernah  Mikir .....,Kalo yg penghasilan 30 ribu perhari itu sudah jelas sangat di perhatikan pemerintah  Tapi nyatanya yg gajinya udh cukup masih berkoar koar padahal bantu tetangga yg miskin gak pernah  Mikir      ,Kalo yg penghasilan 30 ribu perhari itu sudah jelas sangat di perhatikan pemerintah  Tapi nyatanya yg gajinya udh cukup masih berkoar koar padahal bantu tetangga yg miskin gak pernah  Mikir      ,kalo yg penghasilan 30 ribu perhari itu sudah jelas sangat di perhatikan pemerintah  tapi nyatanya yg gajinya udh cukup masih berkoar koar padahal bantu tetangga yg miskin gak pernah  mikir      ,kalau yang penghasilan 30 ribu perhari itu sudah jelas sangat di perhatikan pemerintah  tapi nyatanya yang gajinya sudah cukup masih berkoar teriak padahal bantu tetangga yang miskin tidak pernah  pikir      ,penghasilan 30 ribu perhari perhatikan pemerintah gajinya berkoar teriak bantu tetangga miskin tidak pikir,penghasilan  ribu perhari perhatikan pemerintah gajinya berkoar teriak bantu tetangga miskin tidak pikir,penghasilan ribu perhari perhatikan pemerintah gajinya berkoar teriak bantu tetangga miskin tidak pikir,hasil ribu hari perhati perintah gaji koar teriak bantu tetangga miskin tidak pikir,hasil ribu hari perhati perintah gaji koar teriak bantu tetangga miskin tidak pikir ,"['hasil', 'ribu', 'hari', 'perhati', 'perintah', 'gaji', 'koar', 'teriak', 'bantu', 'tetangga', 'miskin', 'tidak', 'pikir']"
positif,"Ayo yg smart bantu  mengoreksi dan memperbaiki yg sudah berjalan, jangan mengolok olok. Infrastruktur sudah mulai memadai kedepan jika industrialisasi tercipta smp ke seluruh indo. Sy yakin ekonomi indonesia maju pesat. Berdampak bagi seluruh indonesia. @jokowi","Ayo yg smart bantu  mengoreksi dan memperbaiki yg sudah berjalan, jangan mengolok olok. Infrastruktur sudah mulai memadai kedepan jika industrialisasi tercipta smp ke seluruh indo. Sy yakin ekonomi indonesia maju pesat. Berdampak bagi seluruh indonesia. @jokowi",,"Ayo yg smart bantu  mengoreksi dan memperbaiki yg sudah berjalan, jangan mengolok olok. Infrastruktur sudah mulai memadai kedepan jika industrialisasi tercipta smp ke seluruh indo. Sy yakin ekonomi indonesia maju pesat. Berdampak bagi seluruh indonesia. jokowi","Ayo yg smart bantu  mengoreksi dan memperbaiki yg sudah berjalan, jangan mengolok olok. Infrastruktur sudah mulai memadai kedepan jika industrialisasi tercipta smp ke seluruh indo. Sy yakin ekonomi indonesia maju pesat. Berdampak bagi seluruh indonesia. jokowi",Ayo yg smart bantu  mengoreksi dan memperbaiki yg sudah berjalan  jangan mengolok olok  Infrastruktur sudah mulai memadai kedepan jika industrialisasi tercipta smp ke seluruh indo  Sy yakin ekonomi indonesia maju pesat  Berdampak bagi seluruh indonesia  jokowi,Ayo yg smart bantu  mengoreksi dan memperbaiki yg sudah berjalan  jangan mengolok olok  Infrastruktur sudah mulai memadai kedepan jika industrialisasi tercipta smp ke seluruh indo  Sy yakin ekonomi indonesia maju pesat  Berdampak bagi seluruh indonesia  jokowi,ayo yg smart bantu  mengoreksi dan memperbaiki yg sudah berjalan  jangan mengolok olok  infrastruktur sudah mulai memadai kedepan jika industrialisasi tercipta smp ke seluruh indo  sy yakin ekonomi indonesia maju pesat  berdampak bagi seluruh indonesia  jokowi,ayo yang pintar bantu  mengoreksi dan memperbaiki yang sudah berjalan  jangan mengolok olok  infrastruktur sudah mulai memadai ke depan jika industrialisasi tercipta sampai ke seluruh indonesia  saya yakin ekonomi indonesia maju pesat  berdampak bagi seluruh indonesia  jokowi,ayo pintar bantu mengoreksi memperbaiki berjalan mengolok olok infrastruktur memadai industrialisasi tercipta indonesia ekonomi indonesia maju pesat berdampak indonesia jokowi,ayo pintar bantu mengoreksi memperbaiki berjalan mengolok olok infrastruktur memadai industrialisasi tercipta indonesia ekonomi indonesia maju pesat berdampak indonesia jokowi,ayo pintar bantu mengoreksi memperbaiki berjalan mengolok olok infrastruktur memadai industrialisasi tercipta indonesia ekonomi indonesia maju pesat berdampak indonesia jokowi,ayo pintar bantu koreksi baik jalan olok olok infrastruktur pada industrialisasi cipta indonesia ekonomi indonesia maju pesat dampak indonesia jokowi,ayo pintar bantu koreksi baik jalan olok olok infrastruktur pada industrialisasi cipta indonesia ekonomi indonesia maju pesat dampak indonesia jokowi ,"['ayo', 'pintar', 'bantu', 'koreksi', 'baik', 'jalan', 'olok', 'olok', 'infrastruktur', 'pada', 'industrialisasi', 'cipta', 'indonesia', 'ekonomi', 'indonesia', 'maju', 'pesat', 'dampak', 'indonesia', 'jokowi']"
positif,Yang satu patahana yang satu oposisi. Yang satu punya data tapi suka salah nyebut data agar rakyat simpati padahal 0. Suka aku aku apa yang dikerjakan oleh presiden sebelumnya. Gak guna bahas E-sport. ekonomi makro itu berdampak ke mikro. prabowo sandi hadir untuk memperbaiki itu  https://twitter.com/GoDisko/status/1117106344991936512👍,Yang satu patahana yang satu oposisi. Yang satu punya data tapi suka salah nyebut data agar rakyat simpati padahal 0. Suka aku aku apa yang dikerjakan oleh presiden sebelumnya. Gak guna bahas E-sport. ekonomi makro itu berdampak ke mikro. prabowo sandi hadir untuk memperbaiki itu  https://twitter.com/GoDisko/status/1117106344991936512,,Yang satu patahana yang satu oposisi. Yang satu punya data tapi suka salah nyebut data agar rakyat simpati padahal 0. Suka aku aku apa yang dikerjakan oleh presiden sebelumnya. Gak guna bahas E-sport. ekonomi makro itu berdampak ke mikro. prabowo sandi hadir untuk memperbaiki itu  👍,Yang satu patahana yang satu oposisi. Yang satu punya data tapi suka salah nyebut data agar rakyat simpati padahal 0. Suka aku aku apa yang dikerjakan oleh presiden sebelumnya. Gak guna bahas Esport. ekonomi makro itu berdampak ke mikro. prabowo sandi hadir untuk memperbaiki itu  👍,Yang satu patahana yang satu oposisi  Yang satu punya data tapi suka salah nyebut data agar rakyat simpati padahal 0  Suka aku aku apa yang dikerjakan oleh presiden sebelumnya  Gak guna bahas Esport  ekonomi makro itu berdampak ke mikro  prabowo sandi hadir untuk memperbaiki itu   ,Yang satu patahana yang satu oposisi  Yang satu punya data tapi suka salah nyebut data agar rakyat simpati padahal 0  Suka aku aku apa yang dikerjakan oleh presiden sebelumnya  Gak guna bahas Esport  ekonomi makro itu berdampak ke mikro  prabowo sandi hadir untuk memperbaiki itu   ,yang satu patahana yang satu oposisi  yang satu punya data tapi suka salah nyebut data agar rakyat simpati padahal 0  suka aku aku apa yang dikerjakan oleh presiden sebelumnya  gak guna bahas esport  ekonomi makro itu berdampak ke mikro  prabowo sandi hadir untuk memperbaiki itu   ,yang satu patahana yang satu oposisi  yang satu punya data tapi suka salah menyebut data agar rakyat simpati padahal 0  suka aku aku apa yang dikerjakan oleh presiden sebelumnya  tidak guna bahas esport  ekonomi makro itu berdampak ke mikro  prabowo sandiaga hadir untuk memperbaiki itu   ,patahana oposisi data suka salah menyebut data rakyat simpati 0 suka presiden tidak bahas esport ekonomi makro berdampak mikro prabowo sandiaga hadir memperbaiki,patahana oposisi data suka salah menyebut data rakyat simpati  suka presiden tidak bahas esport ekonomi makro berdampak mikro prabowo sandiaga hadir memperbaiki,patahana oposisi data suka salah menyebut data rakyat simpati suka presiden tidak bahas esport ekonomi makro berdampak mikro prabowo sandiaga hadir memperbaiki,patahana oposisi data suka salah sebut data rakyat simpati suka presiden tidak bahas esport ekonomi makro dampak mikro prabowo sandiaga hadir baik,patahana oposisi data suka salah sebut data rakyat simpati suka presiden tidak bahas esport ekonomi makro dampak mikro prabowo sandiaga hadir baik ,"['patahana', 'oposisi', 'data', 'suka', 'salah', 'sebut', 'data', 'rakyat', 'simpati', 'suka', 'presiden', 'tidak', 'bahas', 'esport', 'ekonomi', 'makro', 'dampak', 'mikro', 'prabowo', 'sandiaga', 'hadir', 'baik']"
negatif,"Pantes ente jadi kampret, orang ente GOBLOK Coba ente belajar lagi, tanya ke pakar pakar ekonomi 😊 tapi kasih pemaparan yg jelas 😂😂😂😂 biar ente tau gimana caranya berbisnis","Pantes ente jadi kampret, orang ente GOBLOK Coba ente belajar lagi, tanya ke pakar pakar ekonomi  tapi kasih pemaparan yg jelas  biar ente tau gimana caranya berbisnis",,"Pantes ente jadi kampret, orang ente GOBLOK Coba ente belajar lagi, tanya ke pakar pakar ekonomi 😊 tapi kasih pemaparan yg jelas 😂😂😂😂 biar ente tau gimana caranya berbisnis","Pantes ente jadi kampret, orang ente GOBLOK Coba ente belajar lagi, tanya ke pakar pakar ekonomi 😊 tapi kasih pemaparan yg jelas 😂😂😂😂 biar ente tau gimana caranya berbisnis",Pantes ente jadi kampret  orang ente GOBLOK Coba ente belajar lagi  tanya ke pakar pakar ekonomi   tapi kasih pemaparan yg jelas      biar ente tau gimana caranya berbisnis,Pantes ente jadi kampret  orang ente GOBLOK Coba ente belajar lagi  tanya ke pakar pakar ekonomi   tapi kasih pemaparan yg jelas      biar ente tau gimana caranya berbisnis,pantes ente jadi kampret  orang ente goblok coba ente belajar lagi  tanya ke pakar pakar ekonomi   tapi kasih pemaparan yg jelas      biar ente tau gimana caranya berbisnis,pantas kamu jadi sialan  orang kamu bodoh coba kamu belajar lagi  tanya ke pakar pakar ekonomi   tapi kasih pemaparan yang jelas      biar kamu tahu bagaimana caranya berbisnis,sialan orang bodoh coba belajar pakar pakar ekonomi kasih pemaparan biar berbisnis,sialan orang bodoh coba belajar pakar pakar ekonomi kasih pemaparan biar berbisnis,sialan orang bodoh coba belajar pakar pakar ekonomi kasih pemaparan biar berbisnis,sial orang bodoh coba ajar pakar pakar ekonomi kasih papar biar bisnis,sial orang bodoh coba ajar pakar pakar ekonomi kasih papar biar bisnis ,"['sial', 'orang', 'bodoh', 'coba', 'ajar', 'pakar', 'pakar', 'ekonomi', 'kasih', 'papar', 'biar', 'bisnis']"
positif,"Semoga di periode kedua masa pemerintahan bapak @jokowi Dan @MarufAminNU Ada kebijakan utk mensubsidi harga obat2x an berkualitas paten,  agar banyak rakyat yg sakit seperti saya bisa lekas Sembuh dan bekerja lagi..Go 01","Semoga di periode kedua masa pemerintahan bapak @jokowi Dan @MarufAminNU Ada kebijakan utk mensubsidi harga obat2x an berkualitas paten,  agar banyak rakyat yg sakit seperti saya bisa lekas Sembuh dan bekerja lagi..Go 01",,"Semoga di periode kedua masa pemerintahan bapak jokowi Dan MarufAminNU Ada kebijakan utk mensubsidi harga obat2x an berkualitas paten,  agar banyak rakyat yg sakit seperti saya bisa lekas Sembuh dan bekerja lagi..Go 01","Semoga di periode kedua masa pemerintahan bapak jokowi Dan MarufAminNU Ada kebijakan utk mensubsidi harga obat2x an berkualitas paten,  agar banyak rakyat yg sakit seperti saya bisa lekas Sembuh dan bekerja lagi..Go 01",Semoga di periode kedua masa pemerintahan bapak jokowi Dan MarufAminNU Ada kebijakan utk mensubsidi harga obat2x an berkualitas paten   agar banyak rakyat yg sakit seperti saya bisa lekas Sembuh dan bekerja lagi  Go 01,Semoga di periode kedua masa pemerintahan bapak jokowi Dan MarufAminNU Ada kebijakan utk mensubsidi harga obat2x an berkualitas paten   agar banyak rakyat yg sakit seperti saya bisa lekas Sembuh dan bekerja lagi  Go 01,semoga di periode kedua masa pemerintahan bapak jokowi dan marufaminnu ada kebijakan utk mensubsidi harga obat2x an berkualitas paten   agar banyak rakyat yg sakit seperti saya bisa lekas sembuh dan bekerja lagi  go 01,semoga di periode kedua masa pemerintahan bapak jokowi dan marufaminnu ada kebijakan untuk mensubsidi harga obat2x an berkualitas paten   agar banyak rakyat yang sakit seperti saya bisa lekas sembuh dan bekerja lagi  go jokowi dan amin,semoga periode pemerintahan jokowi marufaminnu kebijakan mensubsidi harga obat2x an berkualitas paten rakyat sakit bisa lekas sembuh go jokowi amin,semoga periode pemerintahan jokowi marufaminnu kebijakan mensubsidi harga obat2x an berkualitas paten rakyat sakit bisa lekas sembuh go jokowi amin,semoga periode pemerintahan jokowi marufaminnu kebijakan mensubsidi harga obat2x an berkualitas paten rakyat sakit bisa lekas sembuh go jokowi amin,moga periode perintah jokowi marufaminnu bijak mensubsidi harga obat2x an kualitas paten rakyat sakit bisa lekas sembuh go jokowi amin,moga periode perintah jokowi marufaminnu bijak mensubsidi harga obat2x an kualitas paten rakyat sakit bisa lekas sembuh go jokowi amin ,"['moga', 'periode', 'perintah', 'jokowi', 'marufaminnu', 'bijak', 'mensubsidi', 'harga', 'obat2x', 'an', 'kualitas', 'paten', 'rakyat', 'sakit', 'bisa', 'lekas', 'sembuh', 'go', 'jokowi', 'amin']"
positif,"Gua juga akui janji-janji Pak Prabowo ya terlalu umum, gak spesifik. Misal janji harga sembako murah, nah. Ini mekanismenya gimana? Dikasih tau gak caranya ke masyarakat? Jadi ya utk masyarakat yang oportunis mikirnya,""Lah, apaan ini kagak nyentuh kehidupan gua langsung"" 😂","Gua juga akui janji-janji Pak Prabowo ya terlalu umum, gak spesifik. Misal janji harga sembako murah, nah. Ini mekanismenya gimana? Dikasih tau gak caranya ke masyarakat? Jadi ya utk masyarakat yang oportunis mikirnya,""Lah, apaan ini kagak nyentuh kehidupan gua langsung"" ",,"Gua juga akui janji-janji Pak Prabowo ya terlalu umum, gak spesifik. Misal janji harga sembako murah, nah. Ini mekanismenya gimana? Dikasih tau gak caranya ke masyarakat? Jadi ya utk masyarakat yang oportunis mikirnya,""Lah, apaan ini kagak nyentuh kehidupan gua langsung"" 😂","Gua juga akui janjijanji Pak Prabowo ya terlalu umum, gak spesifik. Misal janji harga sembako murah, nah. Ini mekanismenya gimana? Dikasih tau gak caranya ke masyarakat? Jadi ya utk masyarakat yang oportunis mikirnya,""Lah, apaan ini kagak nyentuh kehidupan gua langsung"" 😂",Gua juga akui janjijanji Pak Prabowo ya terlalu umum  gak spesifik  Misal janji harga sembako murah  nah  Ini mekanismenya gimana  Dikasih tau gak caranya ke masyarakat  Jadi ya utk masyarakat yang oportunis mikirnya  Lah  apaan ini kagak nyentuh kehidupan gua langsung   ,Gua juga akui janjijanji Pak Prabowo ya terlalu umum  gak spesifik  Misal janji harga sembako murah  nah  Ini mekanismenya gimana  Dikasih tau gak caranya ke masyarakat  Jadi ya utk masyarakat yang oportunis mikirnya  Lah  apaan ini kagak nyentuh kehidupan gua langsung   ,gua juga akui janjijanji pak prabowo ya terlalu umum  gak spesifik  misal janji harga sembako murah  nah  ini mekanismenya gimana  dikasih tau gak caranya ke masyarakat  jadi ya utk masyarakat yang oportunis mikirnya  lah  apaan ini kagak nyentuh kehidupan gua langsung   ,saya juga akui janjijanji pak prabowo iya terlalu umum  tidak spesifik  misal janji harga sembilan bahan pokok murah  nah  ini mekanismenya bagaimana  dikasih tahu tidak caranya ke masyarakat  jadi iya untuk masyarakat yang oportunis memikirnya  lah  apa ini tidak menyentuh kehidupan saya langsung   ,akui janjijanji prabowo tidak spesifik janji harga sembilan bahan pokok murah mekanismenya dikasih tidak masyarakat masyarakat oportunis memikirnya tidak menyentuh kehidupan langsung,akui janjijanji prabowo tidak spesifik janji harga sembilan bahan pokok murah mekanismenya dikasih tidak masyarakat masyarakat oportunis memikirnya tidak menyentuh kehidupan langsung,akui janjijanji prabowo tidak spesifik janji harga sembilan bahan pokok murah mekanismenya dikasih tidak masyarakat masyarakat oportunis memikirnya tidak menyentuh kehidupan langsung,aku janjijanji prabowo tidak spesifik janji harga sembilan bahan pokok murah mekanisme kasih tidak masyarakat masyarakat oportunis pikir tidak sentuh hidup langsung,aku janjijanji prabowo tidak spesifik janji harga sembilan bahan pokok murah mekanisme kasih tidak masyarakat masyarakat oportunis pikir tidak sentuh hidup langsung ,"['aku', 'janjijanji', 'prabowo', 'tidak', 'spesifik', 'janji', 'harga', 'sembilan', 'bahan', 'pokok', 'murah', 'mekanisme', 'kasih', 'tidak', 'masyarakat', 'masyarakat', 'oportunis', 'pikir', 'tidak', 'sentuh', 'hidup', 'langsung']"
positif,Kemenangan indonesia adalah kemenangan  prabowo sandy ....indonesia makmur kedaulatan ekonomi pangan  hanya dg TPS  Kedaulatan negara hanya dg TPS,Kemenangan indonesia adalah kemenangan  prabowo sandy ....indonesia makmur kedaulatan ekonomi pangan  hanya dg TPS  Kedaulatan negara hanya dg TPS,,Kemenangan indonesia adalah kemenangan  prabowo sandy ....indonesia makmur kedaulatan ekonomi pangan  hanya dg TPS  Kedaulatan negara hanya dg TPS,Kemenangan indonesia adalah kemenangan  prabowo sandy ....indonesia makmur kedaulatan ekonomi pangan  hanya dg TPS  Kedaulatan negara hanya dg TPS,Kemenangan indonesia adalah kemenangan  prabowo sandy     indonesia makmur kedaulatan ekonomi pangan  hanya dg TPS  Kedaulatan negara hanya dg TPS,Kemenangan indonesia adalah kemenangan  prabowo sandy     indonesia makmur kedaulatan ekonomi pangan  hanya dg TPS  Kedaulatan negara hanya dg TPS,kemenangan indonesia adalah kemenangan  prabowo sandy     indonesia makmur kedaulatan ekonomi pangan  hanya dg tps  kedaulatan negara hanya dg tps,kemenangan indonesia adalah kemenangan  prabowo sandy     indonesia makmur kedaulatan ekonomi pangan  hanya dengan tempat pemungutan suara  kedaulatan negara hanya dengan tempat pemungutan suara,kemenangan indonesia kemenangan prabowo sandy indonesia makmur kedaulatan ekonomi pangan pemungutan suara kedaulatan negara pemungutan suara,kemenangan indonesia kemenangan prabowo sandy indonesia makmur kedaulatan ekonomi pangan pemungutan suara kedaulatan negara pemungutan suara,kemenangan indonesia kemenangan prabowo sandy indonesia makmur kedaulatan ekonomi pangan pemungutan suara kedaulatan negara pemungutan suara,menang indonesia menang prabowo sandy indonesia makmur daulat ekonomi pangan pungut suara daulat negara pungut suara,menang indonesia menang prabowo sandy indonesia makmur daulat ekonomi pangan pungut suara daulat negara pungut suara ,"['menang', 'indonesia', 'menang', 'prabowo', 'sandy', 'indonesia', 'makmur', 'daulat', 'ekonomi', 'pangan', 'pungut', 'suara', 'daulat', 'negara', 'pungut', 'suara']"
